"Audiogram","Formula","ANSI_SII","Johnson2011_Complete_SII","Bramslow2004_Sones"
"A1","NAL-NL2",0.809317472987418,0.755423335077065,4.29142999477658
"A1","Open-NL",0.768242979619212,0.723473873960182,3.94336929754321
"A2","NAL-NL2",0.85528528571889,0.791813666877712,3.42605507416007
"A2","Open-NL",0.792970905564418,0.741144851723053,2.53616357040793
"A3","NAL-NL2",0.709013450054418,0.67137310547874,3.91539884148431
"A3","Open-NL",0.673791660792075,0.634820323519375,3.9313533960784
"A4","NAL-NL2",0.719950435878254,0.681417069046728,6.1017686178952
"A4","Open-NL",0.600927645237921,0.573458876761249,5.21772681599908
"A5","NAL-NL2",0.601387230448924,0.565427307698437,5.53597945027526
"A5","Open-NL",0.558820861087951,0.526500094383891,5.20648672489578
"A6","NAL-NL2",0.778280742314707,0.511236725577706,2.12401635027601
"A6","Open-NL",0.425135093794368,0.367138958144843,0.562161886037293
"A7","NAL-NL2",0.976250909452389,0.749134154783017,1.15038947716325
"A7","Open-NL",0.834735005878408,0.668188829181692,0
